date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc
2021-01-10,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-11,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-12,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-13,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-14,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-15,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-16,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-17,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-18,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-19,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-20,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-21,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-22,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-23,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-24,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-25,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-26,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-27,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-28,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-29,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-30,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-31,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-01,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-02,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-03,47.7664702087641,predicted,1,continued_trend,660965,47.7664702087641,7.22677754627916e-05,660917.233529791,47.7664702087641,7.22729984716172e-05
2021-02-04,2141.64881934226,predicted,1,continued_trend,660965,2141.64881934226,0.00324018491046009,658823.351180658,2093.88234913349,0.00317821513973527
2021-02-05,4235.53116847575,predicted,1,continued_trend,660965,4235.53116847575,0.0064081020454574,656729.468831524,2093.88234913349,0.00318834839688099
2021-02-06,6329.41351760179,predicted,1,continued_trend,660965,6329.41351760179,0.00957601918044342,654635.586482398,2093.88234912604,0.00319854647740318
2021-02-07,8423.29586673528,predicted,1,continued_trend,660965,8423.29586673528,0.0127439363154407,652541.704133265,2093.88234913349,0.00320881000535388
2021-02-08,10517.1782158688,predicted,1,continued_trend,660965,10517.1782158688,0.015911853450438,650447.821784131,2093.88234913349,0.00321913961275191
2021-02-09,12611.0605649948,predicted,1,continued_trend,660965,12611.0605649948,0.0190797705854241,648353.939435005,2093.88234912604,0.00322953593981508
2021-02-10,14704.9429141283,predicted,1,continued_trend,660965,14704.9429141283,0.0222476877204214,646260.057085872,2093.88234913349,0.00323999963509313
2021-02-11,16798.8252632618,predicted,1,continued_trend,660965,16798.8252632618,0.0254156048554187,644166.174736738,2093.88234913349,0.00325053135549881
2021-02-12,18892.7076123878,predicted,1,continued_trend,660965,18892.7076123878,0.0285835219904047,642072.292387612,2093.88234912604,0.00326113176654878
2021-02-13,20986.5899615213,predicted,1,continued_trend,660965,20986.5899615213,0.031751439125402,639978.410038479,2093.88234913349,0.00327180154250453
2021-02-14,23080.4723106474,predicted,1,continued_trend,660965,23080.4723106474,0.034919356260388,637884.527689353,2093.88234912604,0.00328254136639877
2021-02-15,25174.3546597809,predicted,1,continued_trend,660965,25174.3546597809,0.0380872733953853,635790.645340219,2093.88234913349,0.00329335193035599
2021-02-16,27268.2370089144,predicted,1,continued_trend,660965,27268.2370089144,0.0412551905303826,633696.762991086,2093.88234913349,0.00330423393556603
2021-02-17,29362.1193580404,predicted,1,continued_trend,660965,29362.1193580404,0.0444231076653687,631602.88064196,2093.88234912604,0.00331518809255243
2021-02-18,31456.0017071739,predicted,1,continued_trend,660965,31456.0017071739,0.047591024800366,629508.998292826,2093.88234913349,0.00332621512132776
2021-02-19,33549.8840563074,predicted,1,continued_trend,660965,33549.8840563074,0.0507589419353633,627415.115943693,2093.88234913349,0.00333731575144487
2021-02-20,35643.7664054334,predicted,1,continued_trend,660965,35643.7664054334,0.0539268590703493,625321.233594567,2093.88234912604,0.00334849072226393
2021-02-21,37737.6487545669,predicted,1,continued_trend,660965,37737.6487545669,0.0570947762053466,623227.351245433,2093.88234913349,0.00335974078311736
2021-02-22,39831.5311037004,predicted,1,continued_trend,660965,39831.5311037004,0.0602626933403439,621133.4688963,2093.88234913349,0.00337106669336969
2021-02-23,41925.4134528264,predicted,1,continued_trend,660965,41925.4134528264,0.0634306104753299,619039.586547174,2093.88234912604,0.00338246922269563
2021-02-24,44019.2958019599,predicted,1,continued_trend,660965,44019.2958019599,0.0665985276103272,616945.70419804,2093.88234913349,0.00339394915125522
2021-02-25,46113.178151086,predicted,1,continued_trend,660965,46113.178151086,0.0697664447453133,614851.821848914,2093.88234912604,0.00340550726975087
2021-02-26,48207.0605002195,predicted,1,continued_trend,660965,48207.0605002195,0.0729343618803106,612757.939499781,2093.88234913349,0.00341714437979019
2021-02-27,50300.942849353,predicted,1,continued_trend,660965,50300.942849353,0.0761022790153079,610664.057150647,2093.88234913349,0.00342886129388968
2021-02-28,52394.825198479,predicted,1,continued_trend,660965,52394.825198479,0.0792701961502939,608570.174801521,2093.88234912604,0.00344065883578494
2021-03-01,54488.7075476125,predicted,1,continued_trend,660965,54488.7075476125,0.0824381132852912,606476.292452388,2093.88234913349,0.00345253784062446
2021-03-02,56582.589896746,predicted,1,continued_trend,660965,56582.589896746,0.0856060304202885,604382.410103254,2093.88234913349,0.0034644991550561
2021-03-03,58676.472245872,predicted,1,continued_trend,660965,58676.472245872,0.0887739475552745,602288.527754128,2093.88234912604,0.0034765436375385
2021-03-04,60770.3545950055,predicted,1,continued_trend,660965,60770.3545950055,0.0919418646902718,600194.645404995,2093.88234913349,0.00348867215854716
2021-03-05,62864.236944139,predicted,1,continued_trend,660965,62864.236944139,0.0951097818252691,598100.763055861,2093.88234913349,0.00350088560067249
2021-03-06,64958.119293265,predicted,1,continued_trend,660965,64958.119293265,0.0982776989602552,596006.880706735,2093.88234912604,0.00351318485894517
2021-03-07,67052.0016423985,predicted,1,continued_trend,660965,67052.0016423985,0.101445616095252,593912.998357602,2093.88234913349,0.00352557084105565
2021-03-08,69145.8839915246,predicted,1,continued_trend,660965,69145.8839915246,0.104613533230238,591819.116008476,2093.88234912604,0.00353804446745187
2021-03-09,71239.7663406581,predicted,1,continued_trend,660965,71239.7663406581,0.107781450365236,589725.233659342,2093.88234913349,0.0035506066717556
2021-03-10,73333.6486897916,predicted,1,continued_trend,660965,73333.6486897916,0.110949367500233,587631.351310209,2093.88234913349,0.0035632584008067
2021-03-11,75427.5310389176,predicted,1,continued_trend,660965,75427.5310389176,0.114117284635219,585537.468961083,2093.88234912604,0.00357600061502676
