FrameworkVersion,"1.0.176.23","clorton (CMS/Main/framework)"
sampletimes,0,1.01694915254237,2.03389830508475,3.05084745762712,4.06779661016949,5.08474576271186,6.10169491525424,7.11864406779661,8.13559322033898,9.15254237288136,10.1694915254237,11.1864406779661,12.2033898305085,13.2203389830508,14.2372881355932,15.2542372881356,16.271186440678,17.2881355932203,18.3050847457627,19.3220338983051,20.3389830508475,21.3559322033898,22.3728813559322,23.3898305084746,24.4067796610169,25.4237288135593,26.4406779661017,27.4576271186441,28.4745762711864,29.4915254237288,30.5084745762712,31.5254237288136,32.5423728813559,33.5593220338983,34.5762711864407,35.5932203389831,36.6101694915254,37.6271186440678,38.6440677966102,39.6610169491525,40.6779661016949,41.6949152542373,42.7118644067797,43.728813559322,44.7457627118644,45.7627118644068,46.7796610169492,47.7966101694915,48.8135593220339,49.8305084745763,50.8474576271186,51.864406779661,52.8813559322034,53.8983050847458,54.9152542372881,55.9322033898305,56.9491525423729,57.9661016949153,58.9830508474576,60
susceptible{0},360980,360974,360965,360954,360946,360937,360925,360906,360882,360859,360829,360782,360741,360674,360567,360426,360261,360029,359754,359398,358893,358285,357512,356546,355313,353709,351623,348933,345552,341245,335819,329187,320854,310547,297768,282607,264772,244835,222194,197966,172917,147288,122949,101016,81145,64106,50034,38661,29695,22906,17620,13691,10703,8466,6766,5473,4507,3751,3175,2674
susceptible{1},360980,360978,360978,360978,360977,360976,360970,360968,360961,360956,360947,360939,360927,360919,360898,360880,360858,360822,360772,360692,360589,360497,360360,360185,359972,359708,359308,358814,358187,357364,356283,354879,353120,350806,347904,344140,339279,333378,325955,316836,305355,291612,275854,257111,236037,213037,188715,163394,138936,115157,93971,75298,59144,46024,35520,27185,20855,16185,12639,9886
susceptible{2},360980,360977,360977,360972,360971,360967,360961,360953,360946,360938,360925,360904,360871,360842,360805,360758,360703,360614,360524,360379,360179,359919,359605,359214,358679,357976,357066,355964,354500,352640,350160,347099,343326,338336,331992,324373,314746,303095,289072,272391,253199,231639,208524,183723,158220,133705,110290,89145,70746,55921,43460,33595,25827,19826,15183,11808,9222,7283,5803,4714
susceptible{3},360980,360980,360973,360966,360959,360947,360932,360908,360878,360855,360808,360762,360712,360625,360479,360330,360153,359906,359614,359161,358585,357906,356986,355779,354269,352337,349871,346600,342582,337517,331151,323095,313142,301281,286935,270044,250755,228972,205434,180371,155282,130417,107297,86630,68988,54178,42158,32391,25041,19381,15054,11850,9277,7360,5885,4829,3980,3332,2832,2440
susceptible{4},360980,360977,360977,360974,360973,360970,360968,360963,360958,360949,360940,360929,360905,360883,360862,360823,360779,360708,360633,360569,360469,360329,360137,359893,359580,359166,358613,357962,357058,355902,354517,352752,350325,347355,343383,338446,332174,324541,314942,303515,289602,273284,254581,233206,209951,185128,160136,135452,112302,91062,72491,57005,44412,34154,26352,20440,15786,12133,9561,7617
susceptible{5},360980,360977,360977,360970,360966,360955,360937,360930,360925,360901,360886,360860,360827,360793,360728,360665,360569,360464,360313,360124,359870,359537,359105,358567,357888,357009,355934,354578,352817,350552,347633,343765,338981,332959,325491,316239,304988,291467,275474,257076,235789,213110,188742,163563,138724,114950,93195,74381,58427,45567,35067,27079,20824,16131,12616,9947,7820,6336,5134,4217
susceptible{6},360980,360977,360972,360965,360957,360944,360921,360903,360877,360840,360784,360729,360648,360535,360388,360191,359930,359635,359206,358699,358054,357195,356173,354790,353029,350762,347827,344035,339244,333167,325713,316584,305341,291844,276153,257571,236718,213356,188408,163277,137971,114264,92828,74024,57939,45316,34720,26620,20596,15867,12401,9634,7655,6175,4975,4127,3457,2920,2488,2164
susceptible{7},360980,360974,360967,360966,360962,360953,360943,360933,360925,360910,360894,360875,360855,360812,360751,360691,360609,360504,360355,360181,359950,359640,359275,358781,358170,357378,356314,354971,353314,351235,348476,345081,340563,334914,327897,319119,308445,295349,279867,261888,241298,218536,193997,168596,143354,119419,97446,78292,61552,47903,37190,28678,22112,17021,13231,10336,8198,6566,5315,4372
susceptible{8},360980,360980,360977,360975,360967,360965,360961,360956,360951,360941,360936,360921,360914,360904,360897,360889,360873,360851,360836,360806,360758,360699,360616,360506,360357,360183,359952,359679,359326,358872,358272,357542,356602,355374,353749,351741,349172,345870,341708,336452,329784,321437,311324,299120,284274,267119,247128,224501,200594,175071,149674,125740,103006,82745,65444,51044,39448,30314,23389,18030
